,City,Lat,Lng,Country,Date,Max temp,Humidity,Cloudiness,Wind speed
1,kiunga,-6.12,141.3,PG,1522877935,71.85,96,20,1.95
2,xinqing,48.28,129.53,CN,1522877944,18.12,32,0,5.97
3,orlovskiy,46.87,42.05,RU,1522877936,45.21,88,88,8.55
4,maldonado,-34.91,-54.96,UY,1522875600,73.4,73,20,6.93
5,farrukhnagar,28.45,76.82,IN,1522877400,82.4,54,24,3.4
6,kirkland lake,48.15,-80.03,CA,1522876380,15.8,56,90,21.92
7,cockburn town,21.46,-71.14,TC,1522877947,76.53,100,36,8.66
8,abu kamal,34.45,40.92,SY,1522877938,50.07,19,0,6.98
9,paso de los toros,-32.81,-56.52,UY,1522877938,79.05,47,0,2.84
10,aliaga,15.5,120.85,PH,1522875600,78.8,78,75,6.93
11,north bend,43.41,-124.22,US,1522875360,57.2,75,75,6.93
12,ajaccio,41.93,8.74,FR,1522877400,60.8,87,90,2.73
13,balezino,57.97,53.01,RU,1522877940,28.29,95,0,6.2
14,sasaram,24.95,84.01,IN,1522877949,75.09,69,12,2.95
15,lidkoping,58.51,13.16,SE,1522876800,35.6,100,48,2.24
16,abeche,13.83,20.83,TD,1522877941,73.65,17,0,10.45
17,along,28.17,94.8,IN,1522877941,60.96,78,68,1.95
18,asadabad,34.78,48.12,IR,1522875060,50,86,75,2.39
19,valley,53.28,-4.56,GB,1522875000,41,80,32,20.8
20,la palma,5.36,-74.39,CO,1522877944,78.06,73,20,2.62
21,torbat-e jam,35.24,60.63,IR,1522877954,45.57,68,0,4.41
22,evensk,61.92,159.24,RU,1522877945,33.42,81,0,16.37
23,espinosa,-14.92,-42.81,BR,1522877945,75.99,82,36,2.73
25,barahan,13.01,120.76,PH,1522877946,74.19,100,76,6.42
26,sao jose da coroa grande,-8.9,-35.15,BR,1522877946,80.31,82,92,9.22
28,kamphaeng phet,16.47,99.53,TH,1522877947,74.01,93,0,3.29
29,nkongsamba,4.95,9.94,CM,1522877947,72.57,95,56,1.39
30,onokhoy,51.92,108.05,RU,1522875600,24.8,49,64,20.13
31,alihe,50.57,123.73,CN,1522877948,5.61,55,0,3.29
32,jinan,36.65,117.11,CN,1522877948,34.14,100,80,4.18
33,kargasok,59.06,80.87,RU,1522877948,30.36,78,24,9.89
34,shihezi,44.3,86.03,CN,1522877958,29.1,47,0,10.67
35,cullman,34.17,-86.84,US,1522875480,62.6,41,0,10.29
36,lapua,62.97,23.01,FI,1522876800,35.6,100,90,5.82
37,madingou,-4.17,13.56,CG,1522877950,77.34,83,8,3.18
38,stupino,54.89,38.08,RU,1522875600,26.6,86,0,4.47
39,zhigalovo,54.81,105.15,RU,1522877951,15.24,61,68,5.75
40,bochil,17,-92.89,MX,1522874580,96.8,25,40,21.92
41,shangrao,28.45,117.97,CN,1522877960,58.89,94,56,2.39
42,price,39.6,-110.81,US,1522875180,57.2,12,1,6.93
43,gonbad-e qabus,37.25,55.17,IR,1522877694,47.1,97,92,6.31
44,blagoveshchensk,50.29,127.53,RU,1522875600,19.4,28,0,8.95
45,williamsburg,37.27,-76.71,US,1522876500,69.8,16,40,21.92
46,yertsevo,60.8,40.09,RU,1522877963,15.42,69,0,3.74
47,sennoy,52.16,46.96,RU,1522877954,32.52,99,88,3.4
48,navrongo,10.89,-1.09,GH,1522877964,89.76,43,44,8.66
49,chitungwiza,-18.01,31.07,ZW,1522875600,66.2,82,0,13.87
52,samarai,-10.62,150.67,PG,1522877965,82.2,100,32,11.56
53,kopavogur,64.11,-21.91,IS,1522875600,32,100,0,5.82
54,kasempa,-13.46,25.83,ZM,1522877957,62.4,96,12,2.95
55,iwaki,37.05,140.89,JP,1522877957,42.33,86,0,14.92
56,visby,57.64,18.3,SE,1522876800,33.8,89,20,2.24
57,jiangyou,31.78,104.73,CN,1522877967,48.27,88,92,24.2
58,rosita,13.92,-84.4,NI,1522877968,83.28,65,36,3.06
59,arcachon,44.65,-1.18,FR,1522877400,53.6,71,75,16.11
60,jiayuguan,39.77,98.29,CN,1522877969,22.26,72,80,7.65
61,jamame,0.07,42.75,SO,1522877960,78.06,91,24,4.29
62,kaduqli,11.01,29.72,SD,1522877960,79.41,56,24,8.77
63,timbiqui,2.77,-77.67,CO,1522877970,79.59,100,8,3.4
65,agogo,6.8,-1.08,GH,1522877961,74.01,95,36,3.18
66,katra,32.99,74.93,IN,1522877962,57,85,24,3.85
67,gweta,-20.21,25.26,BW,1522877962,76.8,49,92,3.96
68,sibut,5.73,19.09,CF,1522877972,71.94,93,32,3.4
69,sukhoy log,56.9,62.03,RU,1522877784,30.99,85,56,7.54
70,horasan,40.04,42.16,TR,1522877963,17.04,71,0,3.18
71,yauya,-8.99,-77.29,PE,1522877963,54.12,74,48,2.28
72,nome,30.04,-94.42,US,1522876500,73.4,88,1,10.29
73,mujiayingzi,42.12,118.78,CN,1522877964,26.4,80,92,7.43
75,junin,-16.45,-71.58,PE,1522875600,64.4,45,0,10.29
76,pointe michel,15.25,-61.38,DM,1522875600,86,48,20,8.05
77,kuandian,40.73,124.78,CN,1522877965,32.61,68,92,2.73
78,mushie,-3.02,16.92,CD,1522877965,76.53,95,8,1.95
79,vitorino freire,-4.04,-45.24,BR,1522877966,71.58,99,92,8.99
80,tierralta,8.17,-76.06,CO,1522877966,88.41,62,12,10.45
81,ozark,37.02,-93.21,US,1522875120,46.4,36,1,4.7
82,morehead,38.18,-83.43,US,1522875180,46.4,42,75,11.41
83,sonoita,31.68,-110.66,US,1522875900,89.6,7,1,6.93
84,inuvik,68.36,-133.71,CA,1522875600,1.4,64,75,4.7
85,mugumu,-1.84,34.67,TZ,1522877968,62.94,92,88,2.39
86,omboue,-1.57,9.26,GA,1522877968,82.29,100,76,10.33
87,narsaq,60.91,-46.05,GL,1522875000,37.4,44,75,5.82
88,gulfport,30.37,-89.09,US,1522875360,71.6,30,1,11.41
89,northam,51.04,-4.21,GB,1522876800,42.8,81,40,13.87
90,karatuzskoye,53.61,92.87,RU,1522877970,6.51,71,8,2.95
92,leh,34.16,77.58,IN,1522877979,8.4,79,80,1.61
93,kolpashevo,58.31,82.9,RU,1522877971,25.41,82,20,12.46
94,masumbwe,-3.65,32.16,TZ,1522877980,63.66,95,92,2.73
95,capinota,-17.71,-66.26,BO,1522875600,78.8,31,20,6.93
96,novyy nekouz,57.91,38.06,RU,1522877981,25.32,81,0,8.88
97,taguatinga,-15.83,-48.06,BR,1522875600,71.6,83,40,2.95
98,cutro,39.04,16.98,IT,1522875000,59,100,40,5.82
99,saint-pierre,48.95,4.24,FR,1522877400,50,93,75,16.11
101,alamos,-36.9,-62.36,AR,1522877984,81.57,37,0,15.37
102,bisert,56.85,59.05,RU,1522877975,29.46,89,92,2.95
103,palanga,44.45,25.08,RO,1522877976,49.62,80,12,2.73
104,vikulovo,55.07,40.96,RU,1522877985,22.17,68,0,2.95
105,eureka,40.8,-124.16,US,1522875300,55.4,66,1,6.93
106,purpe,64.48,76.69,RU,1522877986,34.41,92,88,18.16
107,inyonga,-6.72,32.06,TZ,1522877978,62.49,98,44,2.62
110,osuna,37.24,-5.1,ES,1522875600,53.6,87,0,4.7
111,wangou,42.06,126.91,CN,1522877979,22.17,63,88,3.62
112,were ilu,10.6,39.43,ET,1522877979,52.41,90,48,2.39
113,makakilo city,21.35,-158.09,US,1522875420,82.4,83,90,9.17
114,manaia,-39.55,174.12,NZ,1522877980,64.83,93,0,15.82
115,pszczyna,49.98,18.94,PL,1522877400,55.4,57,0,6.93
116,gonda,27.13,81.96,IN,1522877990,71.76,72,24,7.54
117,gaspar,-26.93,-48.96,BR,1522875600,77,78,40,8.05
118,kayes,14.44,-11.44,ML,1522877991,88.77,27,0,7.2
120,owatonna,44.08,-93.23,US,1522876500,28.4,63,1,10.29
122,lander,42.83,-108.73,US,1522877700,55.4,51,75,13.87
124,tonneins,44.39,0.31,FR,1522877400,53.6,81,80,10.29
125,enumclaw,47.2,-121.99,US,1522875480,48.2,100,40,2.17
126,genhe,50.78,121.52,CN,1522877993,1.56,54,0,2.62
127,ryotsu,38.08,138.43,JP,1522876200,42.8,52,40,6.93
129,yurimaguas,-5.9,-76.1,PE,1522875600,86,74,20,4.7
131,matam,15.66,-13.26,SN,1522875600,96.8,19,0,2.24
132,tucano,-10.96,-38.79,BR,1522877995,88.59,41,92,7.65
133,tiruchchendur,8.48,78.12,IN,1522877987,76.89,87,0,3.96
134,san jose de guanipa,8.89,-64.17,VE,1522877987,87.15,53,24,13.58
136,caconda,-13.73,15.06,AO,1522877987,57.54,92,12,3.18
137,deep river,46.1,-77.49,CA,1522875600,24.8,85,90,20.8
138,najran,17.54,44.22,SA,1522875600,78.8,21,40,3.4
139,wenzhou,28.02,120.66,CN,1522877988,63.03,98,92,0.49
140,lichinga,-13.3,35.25,MZ,1522877998,63.84,95,56,2.73
141,cienfuegos,22.15,-80.44,CU,1522875540,84.2,62,48,14.99
142,irece,-11.3,-41.86,BR,1522877990,79.05,62,24,1.72
143,ishim,56.11,69.47,RU,1522877990,28.11,85,24,15.26
144,gizo,31.8,34.94,IL,1522875000,66.2,52,0,2.24
145,plaridel,13.96,122.02,PH,1522877991,77.61,100,36,11.01
146,lufkin,31.34,-94.73,US,1522876500,69.8,28,1,11.41
147,ulu-telyak,54.91,56.98,RU,1522877992,31.44,88,92,0.38
148,toba,34.47,136.83,JP,1522875600,53.6,71,40,12.75
149,praxedis guerrero,31.37,-106.02,MX,1522875480,73.4,12,1,9.17
151,borgarnes,64.54,-21.92,IS,1522875600,32,97,0,5.82
152,smidovich,48.6,133.81,RU,1522877994,23.34,38,0,9.78
153,dzhebariki-khaya,62.22,135.8,RU,1522877994,12.54,78,36,1.61
154,balikpapan,-1.24,116.86,ID,1522877994,79.23,100,80,1.61
155,te anau,-45.41,167.72,NZ,1522878004,48.09,83,20,6.98
156,udachnyy,66.42,112.4,RU,1522877995,8.31,78,44,5.41
157,phuntsholing,26.86,89.38,IN,1522877995,53.67,73,36,2.17
158,maun,-19.99,23.42,BW,1522878005,75.09,49,80,6.42
159,sao francisco,-25.65,-53.85,BR,1522875600,78.8,69,20,2.62
160,regen,48.97,13.13,DE,1522878006,48.9,83,0,4.97
161,cidreira,-30.17,-50.22,BR,1522877997,69.87,91,76,6.98
162,camaragibe,-8.02,-34.98,BR,1522875600,82.4,74,40,8.05
163,agdam,39.99,46.93,AZ,1522878007,41.43,97,68,1.05
164,tulua,12.3,4.78,NG,1522877999,80.49,25,8,7.2
165,neftcala,39.37,49.25,AZ,1522878008,44.49,100,0,8.21
166,trincomalee,8.58,81.23,LK,1522878009,71.67,89,0,3.18
167,boke,10.95,-14.28,GN,1522878009,77.88,60,0,9.1
168,cayhagan,9.67,122.43,PH,1522878000,76.26,100,32,4.41
169,novikovo,45.05,34.56,UA,1522878001,37.47,100,0,3.18
170,nalgonda,17.05,79.27,IN,1522877854,74.46,66,8,3.4
171,aripuana,-9.17,-60.63,BR,1522878010,83.55,81,48,2.17
172,noblesville,40.05,-86.01,US,1522876500,35.6,100,90,17.22
173,bjelovar,45.9,16.84,HR,1522877400,51.8,71,0,6.93
174,shakiso,5.77,38.9,ET,1522878002,63.39,83,92,2.95
175,bloemfontein,-29.12,26.22,ZA,1522875600,57.2,100,92,4.7
176,barentu,15.11,37.59,ER,1522878003,67.17,53,24,3.06
177,kolda,12.89,-14.94,SN,1522878013,84.99,33,0,5.75
178,vrangel,42.73,133.08,RU,1522878013,33.42,97,8,13.02
179,devils lake,48.11,-98.87,US,1522876500,32,63,40,14.99
181,outjo,-20.11,16.16,NA,1522875600,60.8,87,0,2.24
182,muzhi,65.4,64.7,RU,1522878005,25.77,79,20,12.68
183,tarakan,3.3,117.63,ID,1522878015,77.97,100,8,2.62
184,areia branca,-10.76,-37.31,BR,1522875600,82.4,74,40,12.75
185,kaduy,59.2,37.15,RU,1522878007,21.54,82,8,4.41
188,maturin,9.75,-63.18,VE,1522878017,82.2,69,76,9.44
189,caravelas,-17.73,-39.27,BR,1522878008,81.03,100,0,17.16
190,conde,-11.81,-37.61,BR,1522878009,81.21,82,0,9.55
191,armidale,-30.51,151.67,AU,1522878009,48.9,85,20,2.95
192,mundgod,14.97,75.04,IN,1522878010,69.87,82,0,4.07
193,suzun,53.78,82.32,RU,1522878010,6.42,57,0,4.41
194,yuncheng,35.03,111,CN,1522878010,37.11,99,92,2.73
196,valdobbiadene,45.9,12,IT,1522876800,51.8,93,92,6.93
197,lakhdenpokhya,61.52,30.2,RU,1522877911,28.56,86,80,14.25
198,montes altos,-5.83,-47.07,BR,1522878011,74.37,99,92,2.95
199,xiongyue,40.18,122.12,CN,1522878012,33.33,93,92,2.73
200,montego bay,18.47,-77.92,JM,1522875600,82.4,69,20,11.41
201,bossangoa,6.5,17.45,CF,1522878012,77.43,75,8,8.77
202,bakel,14.9,-12.46,SN,1522878013,89.94,21,0,9.55
203,shirokiy,53.87,39.17,RU,1522878013,21.09,71,12,2.95
204,bad wurzach,47.91,9.89,DE,1522876800,46.4,87,40,9.17
205,soure,40.06,-8.63,PT,1522875600,53.6,87,0,1.12
206,makurdi,7.73,8.54,NG,1522878014,86.34,55,12,10.33
208,thika,-1.04,37.08,KE,1522875600,64.4,88,75,6.93
210,estelle,32.87,-97.01,US,1522876500,62.6,17,20,11.41
211,porto velho,-8.75,-63.87,BR,1522878016,88.14,60,20,3.74
212,lubango,-14.92,13.49,AO,1522878026,65.01,98,56,2.28
213,gualeguay,-33.15,-59.31,AR,1522878027,82.47,44,0,4.74
214,moroni,39.52,-111.59,US,1522878018,52.23,25,76,4.29
215,yarmouth,50.71,-1.5,GB,1522876800,46.4,81,75,12.75
216,bandarbeyla,9.49,50.81,SO,1522878019,80.94,100,92,5.41
217,ghauspur,28.14,69.08,PK,1522875600,78.8,57,40,2.95
218,kirovsk,67.62,33.66,RU,1522878029,19.29,91,48,2.62
219,tupancireta,-29.08,-53.84,BR,1522878020,72.03,85,24,5.08
220,bang len,14.02,100.17,TH,1522875600,78.8,94,40,5.82
221,nivala,63.93,24.96,FI,1522878021,33.51,91,92,10.22
222,barroquinha,-3.02,-41.13,BR,1522875600,78.8,94,90,3.36
223,springdale,36.19,-94.13,US,1522875480,50,29,5,4.07
224,tyup,42.73,78.36,KG,1522878022,19.74,61,0,4.29
225,kiruna,67.86,20.23,SE,1522876800,24.8,85,90,10.29
226,sinaloa,32.55,-115.28,MX,1522875420,87.8,22,75,6.93
227,ust-tsilma,65.44,52.15,RU,1522878024,32.16,81,88,9.66
228,chapleau,47.85,-83.4,CA,1522875600,21.2,22,20,12.75
229,gornoye loo,43.72,39.61,RU,1522875600,42.8,93,0,2.24
230,aloleng,16.13,119.78,PH,1522878034,76.44,100,32,5.19
231,forio,40.73,13.86,IT,1522876800,60.8,63,20,3.36
233,key largo,25.09,-80.45,US,1522875360,77,88,90,12.75
234,pilar,-34.46,-58.91,AR,1522875600,77,50,0,6.93
235,chakwal,32.93,72.86,PK,1522878028,63.66,88,0,2.95
236,challans,46.85,-1.88,FR,1522877400,50,93,20,11.41
237,la baneza,42.3,-5.9,ES,1522878028,41.52,86,76,6.76
238,werneck,49.98,10.1,DE,1522876800,48.2,75,20,10.29
239,udimskiy,61.14,45.92,RU,1522878029,24.87,85,0,11.34
240,nagai,38.14,139.98,JP,1522878039,32.43,81,0,5.97
241,baneh,35.99,45.88,IR,1522875600,51.8,71,0,5.82
242,zelenoborsk,61.47,64.05,RU,1522878040,40.26,88,92,9.89
245,norman wells,65.28,-126.83,CA,1522875600,10.4,51,20,5.82
246,kannauj,27.05,79.92,IN,1522878011,72.39,60,12,5.41
247,karatau,43.18,70.46,KZ,1522878042,35.31,71,8,2.73
248,maxixe,-23.86,35.35,MZ,1522878033,75.9,100,36,4.97
249,osa,57.28,55.46,RU,1522878034,33.15,98,92,3.4
250,pirgos,35.12,25.72,GR,1522876800,51.8,76,0,8.05
251,kirchzarten,47.97,7.96,DE,1522877400,48.2,81,0,6.93
253,haflong,25.18,93.03,IN,1522878044,60.06,90,0,1.39
254,kotido,3.01,34.12,UG,1522878036,64.11,97,76,2.17
255,frederiksvaerk,55.97,12.02,DK,1522876800,46.4,100,88,8.05
257,endicott,42.1,-76.05,US,1522875360,41,51,20,29.97
258,ruidoso,33.33,-105.67,US,1522876500,73.4,13,1,21.92
259,shimanovsk,52,127.67,RU,1522878037,16.41,35,0,8.77
260,sao joao do paraiso,-15.31,-42.01,BR,1522878038,72.66,92,56,2.62
261,pervomayskoye,57.07,86.23,RU,1522878047,15.42,82,12,11.9
262,lilongwe,-13.97,33.79,MW,1522878039,63.66,93,0,6.2
263,putyatino,54.16,41.12,RU,1522878039,25.95,78,12,2.84
264,boulder,40.02,-105.27,US,1522875600,62.6,14,1,14.99
265,lugoba,-6.46,38.33,TZ,1522878040,73.2,96,80,2.51
266,basco,40.33,-91.2,US,1522876500,37.4,44,1,9.17
267,fethiye,36.62,29.12,TR,1522875000,51.8,87,0,3.36
268,zhuanghe,39.7,122.97,CN,1522878051,38.73,99,92,9.44
269,sumbe,-11.2,13.84,AO,1522878042,78.51,100,48,8.1
270,salalah,17.01,54.1,OM,1522875000,80.6,83,40,1.12
271,nova olinda do norte,-3.89,-59.1,BR,1522878044,80.04,91,12,2.06
272,middelburg,-25.77,29.46,ZA,1522878053,55.74,93,36,4.63
274,menongue,-14.66,17.68,AO,1522878045,63.3,97,64,1.83
275,formosa do rio preto,-11.04,-45.19,BR,1522878054,84.99,54,80,5.97
276,nazarovo,56.01,90.42,RU,1522878055,8.04,74,0,6.53
277,buloh kasap,2.55,102.76,MY,1522875600,77,88,75,5.82
278,kamyshla,54.11,52.14,RU,1522878056,31.71,98,76,3.62
279,ajdabiya,30.75,20.22,LY,1522878047,61.14,39,0,8.99
280,kargopol,61.51,38.95,RU,1522878057,21.63,82,0,8.99
281,swellendam,-34.02,20.44,ZA,1522875600,68,88,92,1.12
282,tingi,-11.3,35.03,TZ,1522878058,76.44,100,76,5.19
283,mongo,4.83,22.92,CF,1522878049,73.47,88,56,2.95
284,petukhovo,55.06,67.89,RU,1522878050,25.95,79,8,12.68
285,dapdap,14.05,121.57,PH,1522878050,77.61,100,36,11.01
286,lyskovo,56.03,45.04,RU,1522878060,20.91,76,0,2.84
287,paidha,2.42,30.99,UG,1522878051,66.54,90,76,2.84
288,hailey,43.52,-114.32,US,1522874820,53.6,37,40,14.99
289,chiusi,43.02,11.95,IT,1522875000,55.4,71,75,2.24
290,mercedes,-33.25,-58.03,UY,1522878052,80.31,41,0,2.95
291,moreira sales,-24.05,-53.01,BR,1522878062,77.07,79,0,3.96
293,mocajuba,-2.58,-49.5,BR,1522878053,72.66,100,92,2.73
294,odienne,9.51,-7.57,CI,1522878053,74.1,87,44,4.74
295,tuy hoa,13.08,109.3,VN,1522878054,73.56,100,68,0.38
296,morwa,22.9,73.84,IN,1522878063,72.66,48,0,4.41
297,sucua,-2.46,-78.17,EC,1522878055,70.86,85,92,3.74
298,tanout,14.97,8.88,NE,1522878064,76.89,12,0,10
299,atikokan,48.76,-91.62,CA,1522878056,26.85,48,32,6.98
300,zyryanskoye,56.83,86.62,RU,1522878065,15.42,82,12,11.9
301,mar del plata,-46.43,-67.52,AR,1522878066,54.75,55,0,32.14
